Timestamp,Face,Audio,Final
2025-04-10 13:28:02,sad,sad,sad
2025-04-10 13:59:21,fear,sad,fear
2025-04-10 14:06:04,angry,sad,angry
2025-04-10 14:14:52,,sad,sad
2025-04-10 14:19:20,,sad,sad
2025-04-10 14:20:33,fear,sad,fear
2025-04-10 14:20:49,sad,sad,sad
2025-04-10 14:45:05,,sad,sad
2025-04-10 14:45:24,happy,sad,happy
2025-04-10 14:45:36,,sad,sad
2025-04-10 14:45:46,,sad,sad
2025-04-10 14:45:55,,sad,sad
2025-04-10 14:51:29,,sad,sad
2025-04-10 14:51:39,happy,sad,happy
2025-04-10 14:51:53,fear,sad,fear
2025-04-10 15:04:43,sad,sad,sad
2025-04-10 15:05:44,happy,sad,happy
2025-04-10 15:09:38,neutral,sad,neutral
2025-04-10 15:18:26,angry,sad,angry
2025-04-10 15:28:50,surprise,sad,surprise
2025-04-10 17:45:21,sad,sad,sad
2025-04-10 18:20:12,sad,sad,sad
2025-04-11 10:51:48,,sad,sad
2025-04-28 13:44:47,fear,sad,fear
